# F1A_VS_F1 (two zero-op saves, same session): C:\Users\BAIJUN~1\AppData\Local\Temp\drc-probe-e-_cuy5ho1/probe_e_F1a.brd vs probe_e_F1.brd
# size_a=5494892 size_b=5494892 diff_bytes=2226 ranges=1239
[144, 145]
[244, 244]
[261, 262]
[264, 268]
[270, 274]
[278, 285]
[287, 292]
[294, 298]
[300, 306]
[312, 312]
[21760, 21760]
[22720, 22720]
[24700, 24700]
[484172, 484172]
[526716, 526716]
[633684, 633684]
[633852, 633852]
[657220, 657220]
[678176, 678176]
[685672, 685672]
[685860, 685860]
[688940, 688940]
[689212, 689212]
[689296, 689296]
[689400, 689400]
[710324, 710324]
[710944, 710944]
[712508, 712508]
[716896, 716896]
[719176, 719176]
[719520, 719520]
[720284, 720284]
[721896, 721896]
[728368, 728368]
[728512, 728512]
[728848, 728848]
[729688, 729688]
[744140, 744140]
[744144, 744144]
[744220, 744220]
[754708, 754708]
[761620, 761620]
[761624, 761624]
[761652, 761652]
[990128, 990128]
[990172, 990172]
[990216, 990216]
[990260, 990260]
[990348, 990348]
[990392, 990392]
[990480, 990480]
[990520, 990520]
[990524, 990524]
[990564, 990564]
[990612, 990612]
[990652, 990652]
[990656, 990656]
[990828, 990828]
[990832, 990832]
[992760, 992760]
[992804, 992804]
[992848, 992848]
[992888, 992888]
[992892, 992892]
[992936, 992936]
[992980, 992980]
[993020, 993020]
[993024, 993024]
[993068, 993068]
[993112, 993112]
[993156, 993156]
[993196, 993196]
[993200, 993200]
[993244, 993244]
[993288, 993288]
[993328, 993328]
[993332, 993332]
[993376, 993376]
[993420, 993420]
[993460, 993460]
[993464, 993464]
[993508, 993508]
[993552, 993552]
[993592, 993592]
[993596, 993596]
[993640, 993640]
[993684, 993684]
[993768, 993768]
[993812, 993812]
[993896, 993896]
[993936, 993936]
[993940, 993940]
[994024, 994024]
[994068, 994068]
[994152, 994152]
[994196, 994196]
[994280, 994280]
[994324, 994324]
[994408, 994408]
[994448, 994448]
[994452, 994452]
[994536, 994536]
[994580, 994580]
[994620, 994620]
[994624, 994624]
[1012500, 1012500]
[1013096, 1013096]
[1013168, 1013168]
[1013188, 1013188]
[1015916, 1015916]
[1015920, 1015920]
[1015996, 1015996]
[1016068, 1016068]
[1016092, 1016092]
[1016272, 1016272]
[1016924, 1016924]
[1017798, 1017799]
[1017804, 1017804]
[1017820, 1017823]
[1017832, 1017832]
[1017860, 1017860]
[1018076, 1018076]
[1018080, 1018080]
[1018312, 1018312]
[1018940, 1018940]
[1018960, 1018960]
[1019024, 1019024]
[1025562, 1025562]
[1025568, 1025568]
[1025576, 1025576]
[1025578, 1025578]
[1025584, 1025593]
[1025596, 1025600]
[1025604, 1025605]
[1025608, 1025608]
[1025612, 1025613]
[1025616, 1025618]
[1025620, 1025626]
[1025628, 1025630]
[1025632, 1025634]
[1025636, 1025636]
[1025640, 1025641]
[1025644, 1025645]
[1025648, 1025650]
[1025652, 1025654]
[1025656, 1025662]
[1025664, 1025670]
[1025672, 1025672]
[1025676, 1025676]
[1025680, 1025681]
[1025684, 1025684]
[1025686, 1025686]
[1025692, 1025697]
[1025700, 1025705]
